,index,Title,Movie Link,Year,Duration,MPA,Rating,Votes
0,228,229. Waltair Veerayya,https://www.imdb.com/title/tt15281402/?ref_=sr_t_229,2023,2h 35m,,6.2,7.9K
1,520,521. Sharper,https://www.imdb.com/title/tt12573454/?ref_=sr_t_521,2023,1h 56m,R,6.7,34K
2,536,537. Lamborghini: The Man Behind the Legend,https://www.imdb.com/title/tt5533370/?ref_=sr_t_537,2022,1h 37m,R,5.5,15K
3,460,461. Year 10,https://www.imdb.com/title/tt21154574/?ref_=sr_t_461,2024,1h 36m,,4.7,565
4,106,107. K.G.F: Chapter 2,https://www.imdb.com/title/tt10698680/?ref_=sr_t_107,2022,2h 46m,Not Rated,8.2,156K
5,433,434. The Last Letter from Your Lover,https://www.imdb.com/title/tt1893273/?ref_=sr_t_434,2021,1h 50m,TV-MA,6.7,24K
6,104,105. Living,https://www.imdb.com/title/tt9051908/?ref_=sr_t_105,2022,1h 42m,PG-13,7.2,36K
7,322,323. The Stolen Valley,https://www.imdb.com/title/tt13414318/?ref_=sr_t_323,2022,1h 45m,PG-13,4.7,259
8,499,500. The Fix,https://www.imdb.com/title/tt10284944/?ref_=sr_t_500,2024,1h 38m,,4.5,855
9,107,108. Breaking,https://www.imdb.com/title/tt12311620/?ref_=sr_t_108,2022,1h 43m,PG-13,6.3,9.1K
10,24,25. Trolls Band Together,https://www.imdb.com/title/tt14362112/?ref_=sr_t_25,2023,1h 31m,PG,6.0,17K
11,28,29. Smile 2,https://www.imdb.com/title/tt29268110/?ref_=sr_t_29,2024,2h 7m,R,6.8,77K
12,443,444. The Noel Diary,https://www.imdb.com/title/tt13007592/?ref_=sr_t_444,2022,1h 39m,TV-14,6.2,21K
13,291,292. Tori and Lokita,https://www.imdb.com/title/tt18317064/?ref_=sr_t_292,2022,1h 28m,Not Rated,7.1,3.3K
14,366,367. The Story of Film: A New Generation,https://www.imdb.com/title/tt14999458/?ref_=sr_t_367,2021,2h 40m,,7.3,868
15,283,"284. Carville: Winning Is Everything, Stupid",https://www.imdb.com/title/tt33303715/?ref_=sr_t_284,2024,1h 38m,,7.4,217
16,570,571. Father of the Bride,https://www.imdb.com/title/tt13249596/?ref_=sr_t_571,2022,1h 57m,PG-13,5.9,14K
17,166,167. Montana Story,https://www.imdb.com/title/tt13656980/?ref_=sr_t_167,2021,1h 54m,R,6.5,3.7K
18,478,479. Watchmen: Chapter II,https://www.imdb.com/title/tt32627545/?ref_=sr_t_479,2024,1h 30m,R,7.0,1.8K
19,106,107. In a Violent Nature,https://www.imdb.com/title/tt30321146/?ref_=sr_t_107,2024,1h 34m,Not Rated,5.6,23K
20,486,487. Stowaway,https://www.imdb.com/title/tt9203694/?ref_=sr_t_487,2021,1h 56m,TV-MA,5.7,54K
21,485,486. Let Go,https://www.imdb.com/title/tt27410895/?ref_=sr_t_486,2024,1h 50m,TV-MA,7.0,5.4K
22,308,309. Black Ice,https://www.imdb.com/title/tt15144270/?ref_=sr_t_309,2022,1h 36m,R,6.3,363
23,237,238. Dahomey,https://www.imdb.com/title/tt31015216/?ref_=sr_t_238,2024,1h 8m,,6.8,1.7K
24,96,97. Late Night with the Devil,https://www.imdb.com/title/tt14966898/?ref_=sr_t_97,2023,1h 33m,R,7.0,109K
25,423,424. Over the Moon,https://www.imdb.com/title/tt7488208/?ref_=sr_t_424,2020,1h 35m,PG,6.3,26K
26,107,108. Titane,https://www.imdb.com/title/tt10944760/?ref_=sr_t_108,2021,1h 48m,R,6.5,60K
27,245,246. Common Ground,https://www.imdb.com/title/tt27547378/?ref_=sr_t_246,2023,1h 41m,PG,8.0,124
28,3,4. Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/?ref_=sr_t_4,2022,2h 6m,PG-13,6.9,503K
29,244,245. Blue Giant,https://www.imdb.com/title/tt15737898/?ref_=sr_t_245,2023,2h,,7.9,2.6K
30,52,53. A Haunting in Venice,https://www.imdb.com/title/tt22687790/?ref_=sr_t_53,2023,1h 43m,PG-13,6.5,126K
31,194,195. The Dead Don't Hurt,https://www.imdb.com/title/tt22773644/?ref_=sr_t_195,2023,2h 9m,R,6.4,7.2K
32,310,311. Dating & New York,https://www.imdb.com/title/tt10926320/?ref_=sr_t_311,2021,1h 31m,PG-13,4.8,900
33,340,341. Please Baby Please,https://www.imdb.com/title/tt11423420/?ref_=sr_t_341,2022,1h 35m,Not Rated,5.7,1.2K
34,29,30. Civil War,https://www.imdb.com/title/tt17279496/?ref_=sr_t_30,2024,1h 49m,R,7.0,210K
35,589,590. Boss Ma'am,https://www.imdb.com/title/tt34525380/?ref_=sr_t_590,2024,1h 7m,,6.7,79
36,576,577. Berlin Alexanderplatz,https://www.imdb.com/title/tt6470924/?ref_=sr_t_577,2020,3h 3m,,6.9,4.1K
37,372,373. Salem's Lot,https://www.imdb.com/title/tt10245072/?ref_=sr_t_373,2024,1h 54m,R,5.6,30K
38,71,72. Borderlands,https://www.imdb.com/title/tt4978420/?ref_=sr_t_72,2024,1h 41m,PG-13,4.6,38K
39,277,278. Greenland,https://www.imdb.com/title/tt7737786/?ref_=sr_t_278,2020,1h 59m,PG-13,6.4,142K
40,148,149. Overlord: The Sacred Kingdom,https://www.imdb.com/title/tt14603848/?ref_=sr_t_149,2024,2h 15m,R,7.1,578
41,193,194. Superspreader,https://www.imdb.com/title/tt20412464/?ref_=sr_t_194,2022,1h 15m,PG-13,5.0,131
42,152,153. You Gotta Believe,https://www.imdb.com/title/tt15685360/?ref_=sr_t_153,2024,1h 44m,PG,5.4,596
43,210,211. The Hopeful,https://www.imdb.com/title/tt9357860/?ref_=sr_t_211,2024,1h 30m,,6.9,75
44,367,368. Kill Em All 2,https://www.imdb.com/title/tt6549510/?ref_=sr_t_368,2024,1h 28m,R,4.0,1.1K
45,338,339. Hubie Halloween,https://www.imdb.com/title/tt10682266/?ref_=sr_t_339,2020,1h 43m,PG-13,5.3,62K
46,389,390. Inshallah a Boy,https://www.imdb.com/title/tt25406412/?ref_=sr_t_390,2023,1h 53m,,7.2,1.5K
47,29,30. Emma.,https://www.imdb.com/title/tt9214832/?ref_=sr_t_30,2020,2h 4m,PG,6.7,66K
48,450,451. Vanvaas,https://www.imdb.com/title/tt29120307/?ref_=sr_t_451,2024,2h 40m,,6.8,550
49,231,232. Gossamer Folds,https://www.imdb.com/title/tt9337518/?ref_=sr_t_232,2020,1h 36m,,6.9,135
50,526,527. All the Lost Ones,https://www.imdb.com/title/tt22002058/?ref_=sr_t_527,2024,1h 45m,,4.3,137
51,363,364. Endless Rain,https://www.imdb.com/title/tt14540764/?ref_=sr_t_364,2021,1h 57m,,6.7,494
52,270,271. 365 Days,https://www.imdb.com/title/tt10886166/?ref_=sr_t_271,2020,1h 54m,TV-MA,3.3,102K
53,125,126. Stree 2: Sarkate Ka Aatank,https://www.imdb.com/title/tt27510174/?ref_=sr_t_126,2024,2h 27m,,7.0,39K
54,322,323. Subservience,https://www.imdb.com/title/tt24871974/?ref_=sr_t_323,2024,1h 46m,R,5.4,20K
55,21,22. The Addams Family 2,https://www.imdb.com/title/tt11125620/?ref_=sr_t_22,2021,1h 33m,PG,5.4,16K
